Criterio,Arboles,Profundidad,Atributos,p1,p2,p3,p4,p5
entropy,46,10,auto,0.9476930391589795, 0.9543354603986638, 0.949150121667274, 0.9483130296331727, 0.9470723327221582
entropy,46,10,auto,0.9490587152889577, 0.9496708376691766, 0.9572308602829631, 0.9496003336065628, 0.9491685154257424
entropy,46,10,auto,0.9502041599349321, 0.9462368166584888, 0.9469180398521808, 0.9479517198876288, 0.9474143768777619
entropy,46,10,auto,0.9522724671309124, 0.9496821122713179, 0.9471642748301934, 0.9490003250220527, 0.9484433579354932
entropy,46,10,auto,0.9481671310121159, 0.9515657302612762, 0.945753874893253, 0.947862640265842, 0.9530785693145816

gini,125,10,log2,0.9535506783868394, 0.9541665997619101, 0.9535188345270085, 0.9542681551517934, 0.9506506189509958
gini,125,10,log2,0.9554704966031485, 0.9548434440769733, 0.9558639946499383, 0.9531902925908355, 0.9518361380065549
gini,125,10,log2,0.9503107942776741, 0.9553824236539041, 0.9551167480844273, 0.9487756973145748, 0.9542735487732117
gini,125,10,log2,0.9543177339115021, 0.9555525897439767, 0.9554115650323567, 0.9543552326828056, 0.9539870740056756
gini,125,10,log2,0.9545185490723065, 0.9518312297739328, 0.953520197299621, 0.9523836806276177, 0.9553806549774289

entropy,167,11,auto,0.9568269122399315, 0.9573640429473951, 0.956370028544331, 0.9566654504487915, 0.9573547693373641
entropy,167,11,auto,0.9563945454627025, 0.9593407509307046, 0.9584484366551326, 0.9581564198089697, 0.9594525569620564
entropy,167,11,auto,0.9567993745703793, 0.9578196781948161, 0.958502705170625, 0.9537628593807257, 0.9565210781366226
entropy,167,11,auto,0.9564763332457562, 0.9580820740275945, 0.9574401439923304, 0.9564115115911, 0.9564502842602585
entropy,167,11,auto,0.9578536363088836, 0.9576755914622929, 0.9574693681187435, 0.95611774856422, 0.9571603223350547

gini,63,11,log2,0.9595403977345487, 0.9597290428304607, 0.957480775869064, 0.9630461029625652, 0.960052167544005
gini,63,11,log2,0.9608301845127805, 0.959381185599398, 0.9615822321338874, 0.9591994720863386, 0.9608736953690717
gini,63,11,log2,0.9583104194186474, 0.9586923848373228, 0.960149903543198, 0.959712759988625, 0.9594289015822872
gini,63,11,log2,0.9589617031029393, 0.9610969512535472, 0.9592794446892163, 0.958025907105118, 0.9602954652695224
gini,63,11,log2,0.9603281255825735, 0.9565076015891092, 0.9597138658630235, 0.9577868794199389, 0.9584686394493187

entropy,76,13,auto,0.9673251726862139, 0.9670217321205787, 0.9672412841763534, 0.9664555215251911, 0.9683760706396259
entropy,76,13,auto,0.9683729417925996, 0.969153040254572, 0.9689435180130963, 0.9700279000974183, 0.9688774432802593
entropy,76,13,auto,0.9672681415335109, 0.9661003745188377, 0.9659535473674722, 0.9678928240996898, 0.9650681357204299
entropy,76,13,auto,0.9676588180151235, 0.9667208163988079, 0.9644324087948046, 0.9670770269709345, 0.9663858980334837
entropy,76,13,auto,0.9659080684640029, 0.9673734936448857, 0.9676396805818223, 0.966541074072111, 0.9676902057737988

gini,29,14,log2,0.9729315606792838, 0.9713197469939365, 0.972305699934444, 0.9726533446866859, 0.9739403520871243
gini,29,14,log2,0.9736992461111621, 0.9740381000277039, 0.9741179868693081, 0.973049478763353, 0.9745081908468287
gini,29,14,log2,0.9719906765451432, 0.9706872549282582, 0.9725968079030182, 0.9721535446115462, 0.9700567713388928
gini,29,14,log2,0.9736289880198656, 0.9705545374313347, 0.9698827704451235, 0.9702730133851866, 0.9709073065980961
gini,29,14,log2,0.9718610062930633, 0.9713176488205935, 0.9709953774502893, 0.9724170103383444, 0.9721112813218077

entropy,186,15,log2,0.976917443892736, 0.9767510484164454, 0.9765747637317734, 0.9769187050287507, 0.9770536375066528
entropy,186,15,log2,0.9775328802223066, 0.9766810893050833, 0.9775027152938783, 0.9772970947546866, 0.9782126122262955
entropy,186,15,log2,0.9757717505486904, 0.9757055647052, 0.9764691850911182, 0.9753420509145102, 0.975725327851724
entropy,186,15,log2,0.9758026640759274, 0.9757406918355209, 0.976294742952687, 0.9756126937537168, 0.9758026640759274
entropy,186,15,log2,0.975469403568332, 0.9751519936703359, 0.9752472095060511, 0.975469403568332, 0.9753422205029691

gini,33,16,log2,0.9795655481257293, 0.9791248776712234, 0.9799502934271294, 0.9796572772323788, 0.9782805359329403
gini,33,16,log2,0.9797514696846037, 0.9795370390143563, 0.9817409218927307, 0.9811595366100179, 0.9808302394569381
gini,33,16,log2,0.9786664030020756, 0.978801539733759, 0.9786155182813498, 0.978799556846645, 0.9792239031343932
gini,33,16,log2,0.9787745339588658, 0.98006006428577, 0.9793639227329944, 0.9780517964729267, 0.9793907787721605
gini,33,16,log2,0.9789335663735397, 0.9777838950413524, 0.9774315602196255, 0.9783140118062689, 0.9782773879404949

entropy,54,16,auto,0.9798931857737522, 0.9794822629158223, 0.9800211617839479, 0.9786397991038889, 0.9803165105543644
entropy,54,16,auto,0.9797706781216974, 0.9792189480201122, 0.9798478030465123, 0.9806570562414851, 0.980551438199343
entropy,54,16,auto,0.9783664028749106, 0.9781701368454518, 0.9783803041300186, 0.9786155182813498, 0.977338535397746
entropy,54,16,auto,0.9787145628120819, 0.9781897750455175, 0.9784281235150003, 0.9794033807438185, 0.978079824498506
entropy,54,16,auto,0.9776430491997593, 0.9780658269360913, 0.9794159440779688, 0.9791685503562811, 0.9792427925490155

gini,191,18,auto,0.9824756330996507, 0.9827165804443483, 0.9825978166000063, 0.9828096740149288, 0.9829062765486514
gini,191,18,auto,0.9843431342397857, 0.9840124521515186, 0.9842618935049612, 0.9841362908032313, 0.9840342047876978
gini,191,18,auto,0.9829403790708438, 0.983015255703741, 0.983048184999632, 0.9826915508895695, 0.9826804092348054
gini,191,18,auto,0.9824128768112044, 0.9823789014801252, 0.9827796628012461, 0.982853230608578, 0.982853230608578
gini,191,18,auto,0.9830261700315084, 0.9828313753193731, 0.982713276363893, 0.9825194504941955, 0.9830149823944359

gini,31,20,auto,0.9841448733396179, 0.9853028011185279, 0.9841137121269536, 0.984583639837951, 0.9833647825502618
gini,31,20,auto,0.9862417463790305, 0.9859972056713199, 0.9862286267255158, 0.9864268193454572, 0.9859708243052752
gini,31,20,auto,0.9837304929963518, 0.9845224714967062, 0.9835579495657726, 0.9831865219186126, 0.9840009254790065
gini,31,20,auto,0.9840729546106075, 0.9844321867370704, 0.9841917473640487, 0.9844938658133526, 0.9838911722513152
gini,31,20,auto,0.984471980472973, 0.9838607226439192, 0.9843320754417837, 0.9847306928162746, 0.9851573788382758

gini,154,21,auto,0.9856127764986422, 0.9848792632518133, 0.9851533226153074, 0.9849851456093462, 0.9850036950624314
gini,154,21,auto,0.9865186016425487, 0.9868400088834919, 0.9867988184316105, 0.9871309453626618, 0.9863448596893822
gini,154,21,auto,0.9844935030932602, 0.9853370294185112, 0.9845151044230253, 0.9849773479206532, 0.9844935030932602
gini,154,21,auto,0.9848159610804079, 0.9846833507854513, 0.9848352880094303, 0.9849773479206532, 0.9849964896476988
gini,154,21,auto,0.9846642589336879, 0.9843422092858125, 0.9851846023625593, 0.9846638754512742, 0.9845128378815875

entropy,35,21,auto,0.9851132675716112, 0.9839744465118526, 0.9848956938322156, 0.9852889111387206, 0.9844746259979019
entropy,35,21,auto,0.9877668748221975, 0.9866334109855623, 0.986701242216685, 0.9867003938415287, 0.9863265273287405
entropy,35,21,auto,0.9842407488418264, 0.9842302771796317, 0.9840795888777845, 0.9846833507854513, 0.9846450777308965
entropy,35,21,auto,0.9850188512587472, 0.985012233216471, 0.9841542225291707, 0.9840810314620969, 0.9846966956013551
entropy,35,21,auto,0.9840128553047354, 0.9847332921722711, 0.9840302032279699, 0.9855637822136325, 0.9853337131099602

gini,95,21,auto,0.9846329728583872, 0.9849048120963978, 0.9849958728811746, 0.9850129362294738, 0.9848091222907149
gini,95,21,auto,0.9871126981058103, 0.9859970059811365, 0.9864681166552316, 0.9866240088209937, 0.9863858536239233
gini,95,21,auto,0.9846258066667168, 0.9844931328732267, 0.9841935365637526, 0.9845349317993444, 0.9846546795329711
gini,95,21,auto,0.9852776796436156, 0.9845224714967062, 0.9845035436646186, 0.9843519642093689, 0.9851854399647657
gini,95,21,auto,0.9845031817684413, 0.9851754077182557, 0.9846642589336879, 0.9845035436646186, 0.9846642589336879

gini,38,21,auto,0.9849851456093462, 0.9853688083647558, 0.9855539928097193, 0.9847616046258748, 0.9854359527255883
gini,38,21,auto,0.9865088541681196, 0.9871795049325225, 0.9863279415068057, 0.9860464624907687, 0.9854016192321513
gini,38,21,auto,0.9846622405124683, 0.9851577962717706, 0.9851476946856452, 0.9842032011442019, 0.9843422092858125
gini,38,21,auto,0.9853187765655221, 0.9852727693399805, 0.9850054227076116, 0.9841926468448614, 0.9846638754512742
gini,38,21,auto,0.9843815434309652, 0.9846131119390473, 0.9841732480495291, 0.984432358035216, 0.9848447229256199

