Tipo,P1,P2,P3,P4,P5
Bernoulli,4 0.6742283383290899, 0.6742283383290899, 0.6742283383290899, 0.6742283383290899, 0.6742283383290899
Gausiano,4 0.866119295286541, 0.866119295286541, 0.866119295286541, 0.866119295286541, 0.866119295286541
Categorical,4 0.9065066076802861, 0.9065066076802861, 0.9065066076802861, 0.9065066076802861, 0.9065066076802861
Bernoulli,4 0.6708553958187432, 0.6708553958187432, 0.6708553958187432, 0.6708553958187432, 0.6708553958187432
Gausiano,4 0.8645788651734208, 0.8645788651734208, 0.8645788651734208, 0.8645788651734208, 0.8645788651734208
Categorical,4 0.9079738283782617, 0.9079738283782617, 0.9079738283782617, 0.9079738283782617, 0.9079738283782617
Bernoulli,4 0.6632807535717788, 0.6632807535717788, 0.6632807535717788, 0.6632807535717788, 0.6632807535717788
Gausiano,4 0.8604504675773084, 0.8604504675773084, 0.8604504675773084, 0.8604504675773084, 0.8604504675773084
Categorical,4 0.9052413035687549, 0.9052413035687549, 0.9052413035687549, 0.9052413035687549, 0.9052413035687549
Bernoulli,4 0.6632807535717788, 0.6632807535717788, 0.6632807535717788, 0.6632807535717788, 0.6632807535717788
Gausiano,4 0.8604504675773084, 0.8604504675773084, 0.8604504675773084, 0.8604504675773084, 0.8604504675773084
Categorical,4 0.9052413035687549, 0.9052413035687549, 0.9052413035687549, 0.9052413035687549, 0.9052413035687549
Bernoulli,4 0.6632807535717788, 0.6632807535717788, 0.6632807535717788, 0.6632807535717788, 0.6632807535717788
Gausiano,4 0.8604504675773084, 0.8604504675773084, 0.8604504675773084, 0.8604504675773084, 0.8604504675773084
Categorical,4 0.9052413035687549, 0.9052413035687549, 0.9052413035687549, 0.9052413035687549, 0.9052413035687549

